abandon,v 拋棄；遺棄 
abide,v 忍受；容忍 
ability,n 能力；才能 
able,a 能；可；會 
abnormal,a 不正常的；反常的 
abroad,ad 在國外；到國外 
aboard,ad 在（交通工具）上；上（交通工具） prep在（交通工具）上
abolish,v 廢除；廢止 
aborigine,n 土著；原住民 
abort,v 流產；夭折；（計畫等）失敗 
abound,v 富足；充滿 
about,ad 在四周；到處prep 關於；對於；在⋯⋯的周圍
above,ad 在上面；向上面prep 在⋯⋯上面；優於；勝過
above-average,a 在平均水平以上；超過平均水平 
abrupt,a 突然的；唐突的 
abruptly,ad 突然地；唐突地 
absence,n 不在，缺席 
absent,a 缺席的，不在場的 
absolute,a 純粹的；完全的 
absolutely,ad 絕對地，完全地 
absorb,v 吸收；理解 
abstract,a 抽象的；深奧的 n摘要，抽象派藝術作品
absurd,a 不合理的，荒謬的 
abundance,n 豐富；充足 
abundant,n 大量的；充足的 
abuse,n 濫用；虐待 
abusive,n 辱罵的；濫用的 
academic,a 學校的；學術的 n學者；學究
academy,n 學院；大學 
accelerate,v 加快；增長 
accent,n 口音，腔調 v強調，著重
accept,v 接受；答應 
acceptable,a 可以接受的；令人滿意的 
acceptance,n 接受；贊同 
access,n 進入；入口 v使用；接近
accessibility,n 易接近；易受影響 
accessible,a 可接近的；可進入的 
accessory,n 附件；配件a 附屬的；輔助的
accident,n 事故；災禍 
accidental,a 偶然的；意外的 
accident-prone,a 容易受傷的；容易出意外的 
acclaim,v 歡呼；喝采 
acclimatize,v 使適應新環境 
accommodate,v 使適應；使相符 
accommodation,n 適應；調節 
accompany,v 陪同，伴隨 
accomplish,v 完成，實現，達到 
accomplishment,n 成就；成績 
accord,v 使一致，調解 
according,a 相符的；和諧的 
account,n 帳目，帳單 v把⋯⋯視為
accountable,a 應負責任的；可說明的 
accountant,n 會計師；會計人員 
accounting,n 會計學；結帳 
accrue,v 積累；獲得 
accumulate,v 累積；積聚 
accumulation,n 積累；積聚 
accuracy,n 正確；準確 
accurate,a 準確的；精確的 
accuse,v 控告；譴責 
accustom,v 習慣（於） 
ache,n 疼痛 v疼痛；感到痛苦
achieve,v 完成，實現 
achievement,n 達成；完成 
acknowledge,v 承認 
acknowledgement,n 承認；確認；認可 
acquire,v 取得；獲得 
acquisitive,a 想獲得的；貪得無厭的 
acquisition,n 獲得，取得 
acre,n 英畝；地產 
across,prep 橫越，穿過；在⋯⋯那邊 ad橫過
act,v 扮演；做事；見效 n行為；行動
action,n 行動；行為 
activate,v 使活化；使活潑 
active,a 活躍的；活潑的；積極的 
activity,n 活動；行動 
actor,n 演員；行動者 
actress,n 女演員 
actual,a 實際的；事實上的 
actually,ad 實際上；真的 
acute,a 嚴重的；敏銳的 
adapt,v 使適應，使適合 
adapter,n 改編者；轉接器 
add,v 添加；增加 
addict,v 使沉溺；使醉心 
addiction,n 沉溺；成癮 
addictive,a 成癮的；上癮的 
addition,n 加；附加 
additionally,ad 附加地；同時；此外 
address,n 住址；地址 v向⋯⋯致詞；向⋯⋯發表演說
adept,n 能手；內行 
adequate,a 足夠的；適當的 
adhere,v 黏附；遵守；堅持 
adjust,v 調整；校正 
adjustment,n 調整；校正 
administrate,v 管理；支配 
administration,v 管理；經營；行政 
administrator,n 管理人；行政官員 
admirable,a 值得讚揚的；令人欽佩的 
admiration,n 欽佩；欣賞 
admire,v 欽佩；欣賞 
admit,v 承認；准許進入 
admittance,n 進入；入場許可 
adolescence,n 青春期；青少年時期 
adolescent,a 青少年的；幼稚的 n青少年
adopt,v 採取；採納 
adoption,n 採納；採用 
adorn,v 裝飾；使生色 
adult,n 成年人 a成年的；成熟的
advance,v 前進；進展 n前進；發展a先行的；預先的
advanced,a 在前面的；先進的；開明的 
advantage,n 優點；利益v 有利於；使處於優勢
adventure,n 冒險; 冒險精神
adversary,n 敵手；敵人 
adverse,a 反面的；不利的 
advertise,v 廣告；公布 
advertisement,n 廣告；宣傳 
advice,n 勸告；忠告 
advisable,a 可取的；適當的 
advise,v 勸告；忠告 
adviser,n 顧問；勸告者 
advocate,n 提倡者；辯護者；律師 
affair,n 事件；事務 
affect,v 影響；對⋯⋯發生作用 
affection,n 愛；情愛 
affirm,v 申明；堅稱；證實 
affirmative,a 肯定的；表示贊成的 
affix,v 貼上；添上；附上 
afraid,a 害怕的；恐怕；遺憾 
after,prep 在...之後 conj在...之後ad以後；之後a以後的；後部的
afternoon,n 下午；午後 
after-tax,a 稅後；淨收的 
afterward,ad 之後；以後 
again,ad 再；再一次 
against,prep 反對；違反 
age,n 年齡 v變老；成熟
agency,n 經銷處；代理機構 
agenda,n 待議諸事項；議程 
agent,n 代理商；仲介人 
aggression,n 侵略 
aggressive,a 侵略的；好鬥的 
agility,n 敏捷；靈活 
ago,ad 在⋯⋯以前 
agree,v 同意；贊同 
agreement,n 同意；協定 
agricultural,a 農業的；務農的 
ahead,ad 在前；向前；預先 
aid,v 幫助；救助 n幫助；救助
aim,v 瞄準；目的 
air-conditioner,n 冷氣機 
aircraft,n 飛機；飛艇 
airline,n 航線；航空公司 
airport,n 機場 
aisle,n 通道；走道 
alarm,n 警報；鬧鐘 v使驚慌不安；使恐懼
alert,v 使警覺；使注意 n警戒；警報a警覺的；警惕的
align,v 排成直線；使結盟 
alike,a 相同的；相像的ad 一樣地；相似地
allege,v 斷言；宣稱 
allegedly,ad 據傳說；據宣稱 
allergy,n 過敏症 
alley,n 小巷；小徑 
alliance,n 結盟；聯盟 
allocate,v 分派；分配 
allow,v 允許；准許 
allowance,n 津貼；補貼 
allure,v 引誘；誘惑 n誘惑力，魅力
almost,ad 幾乎；差不多 
along,prep 沿著；順著 ad向前；一起
already,ad 已經；先前 
alter,v 改變；修改 
alternate,a 交替的；輪流的 n代理人；代替者
alternative,a 替代的；供選擇的 n選擇；二擇一
altogether,ad 完全；全然 
amateur,a 業餘的；外行的 n業餘；外行
amaze,v 使驚奇；使驚愕 
ambiguous,a 含糊不清的；引起歧義的 
ambition,n 雄心；抱負 
amend,v 修訂；修改 
amendment,n 改正；修正；修正案 
amid,prep 在⋯之間；被⋯包圍 
among,prep 在⋯之中；在⋯中間 
amount,n 總數；總額 v共計；相當於
amplify,v 增強；擴大 
amuse,v 使歡樂；使發笑 
analyze,v 分析 
angle,n 角；角度 
animate,v 賦予生命；使有生命 
anniversary,n 週年紀念a 週年的
announce,v 宣布；發布 
announcement,n 通告；布告 
annual,a 一年一次的；每年的 
annually,ad 每年；每年一次 
anonymous,a 匿名的；姓氏不明的 
another,a 又一；再一 
answer,v 回答；答覆 n回答；答覆
antibiotic,a 抗生的；抗菌的 n抗生素；抗菌素
anxiety,n 焦慮；掛念 
anxious,a 焦慮的；掛念的 
any,a 任一；每一 prep任何一個；任何人
apart,ad 分開地；有距離地 
apologetic,a 道歉的；認錯的 
apology,n 道歉；陪罪 
apparent,a 表面的；外觀的 
apparently,ad 顯然地；表面上 
appeal,v 呼籲；懇求 
appear,v 出現；顯露 
appearance,n 出現；顯露 
appetite,n 食慾；胃口 
applaud,v 鼓掌歡迎；喝采 
appliance,n 用具；裝置 
applicant,n 申請人 
apply,v 申請；請求 
appoint,v 任命；指派 
appraise,v 估計；估量 
apprehend,v 逮捕；對⋯⋯擔慮 
apprentice,n 徒弟；見習生 
approach,v 接近；靠近 
appropriate,a 適當的；恰當的 
approval,n 批准；認可 
approve,v 同意；贊許 
approximate,a 接近的；大約的 v接近；近似
apt,a 易於⋯的；有⋯傾向的 
architect,n 建築師；設計師 
architecture,n 建築物；建築學；結構 
archive,v 把⋯存檔；把⋯收集歸檔 n檔案保管處；
area,n 地區；區域 
arena,n 圓形運動場；比賽場 
argue,v 爭論；辯論；主張 
argument,n 爭執；爭吵 
arise,v 升起；上升；產生 
around,ad 到處；周圍prep 圍繞；在⋯⋯附近
arouse,v 喚起；激動；使奮發 
arrange,v 整理；安排；籌備 
arrest,v 逮捕；拘留 
arrival,v 到達；到來 
arrive,v 到達；到來 
articulate,v 清楚地講話；清晰地發音；明確有力地 
artificial,a 人工的；人造的 
ascend,v 登高；上升 
assemble,v 集合；召集 
assert,v 斷言；聲稱 
assess,v 對⋯⋯進行估價；評價 
assign,v 分配；分派 
assignment,n 任務；工作 
assimilate,v 被吸收；被消化 
assist,v 幫助；協助 
assistance,n 援助；幫助 
associate,n 夥伴；同事a 夥伴的；共事的
association,n 協會；公會；聯盟 
assume,v 以為；假定為 
assurance,n 保證 
assure,v 向⋯⋯保證；擔保 
astonish,v 使吃驚；使驚訝 
at,prep 在⋯地點；在⋯時刻 
ATM,n 自動存提款機 
attach,v 附屬；附加 
attachment,n 附屬物；附件 
attain,v 達到；獲得 n成就，造詣
attempt,n 企圖；嘗試 v試圖；企圖
attend,v 出席；參加 
attendance,n 到場；出席 
attention,n 注意力；專心 
attest,v 證實；證明 
attorney,n 律師 
attract,v 吸引；引起 
attribute,v 把⋯歸因於；把⋯歸咎於 
auction,n 拍賣 v拍賣
audience,n 聽眾；觀眾 
audit,v 審計；查帳 n審計；查帳
auditory,a 耳朵的；聽覺的 n聽眾；禮堂
author,n 作者；作家 
automatic,a 自動的；習慣性的 
available,a 可用的；可利用的 
avenue,n 大街；大道 
average,n 平均；中等 a普通的；中等的v平均分
avert,v 避開；移開 
avoid,v 避開；躲開 
avoidance,n 逃避；迴避 
await,v 等候；期待 
awareness,n 察覺；覺悟 
bachelor,n 單身漢；學士 
back,n 背部；後部 v倒退；後退ad向後；後退
backache,n 背痛；腰痛 
backbone,n 脊骨；脊柱 
backbreaking,a 非常辛勞的 
backfire,n 引擎的逆火 v事與願違
background,n 背景；遠因 
backlash,n 反衝；強烈反對；後座力 
backlog,n 存貨；儲備金 
backpack,n 登山、遠足用的背包 
back-to-back,Ph 背靠背 
backup,n 備用；備用物a 備用的v備份
backward,a 向後的；反向的 ad向後；倒
backyard,n 後院 
bacteria,n 細菌 
bad,a 壞的；不好的 ad很；非常
badge,n 徽章；紀念章 
badly,ad 壞地；拙劣地 
bad-tempered,a 情緒惡劣的；易怒的 
baffle,v 使受挫折；阻撓n 困惑；障礙
baffling,a 令人困惑的；難對付的 
bag,n 袋；提袋 
baggage,n 行李 
bail,v 保釋 n保釋；保釋金
bailout,n 跳傘；緊急（財政）援助 
bait,n 餌；引誘物 v引誘；誘惑
bake,v 烘；烤；烘培 
baker,n 麵包師：糕點師 
bakery,n 麵包店；糕點店 
balance,n 平衡；均衡 v使平衡
balcony,n 陽臺；露臺 
bald,a 禿頭的；赤裸裸的 
ball(party),n 舞會 
ballroom,n 跳舞的大廳 
ban,n 禁止；禁令 v禁止；取締
band,n 帶；細繩；樂團 
banish,v 流放；放逐 
bank,n 銀行；堤；岸 
bankbook,n 銀行存摺 
bankcard,n 銀行信用卡 
banker,n 銀行家 
banking,n 銀行業務；銀行業 
bankrupt,a 破產的 v使破產n破產者
bankruptcy,n 破產；倒閉 
banner,n 旗幟；橫幅 
banquet,n 宴會；盛宴 v宴請
bar,n 棒；條；酒吧 
bar code,n 條碼 
barbecue,n 烤肉；燒烤v 烤肉；燒烤
bare,a 裸的；光禿禿的 v使赤裸；露出
barely,ad 僅僅；勉強 
bareness,n 赤裸；無遮蓋 
bargain,n 協議；買賣 v討價還價
barren,a 不生育的；貧脊的 n瘠地；荒漠
barrier,n 障礙物；路障 
bas,n 基；底；基部 n基本的；基礎的
baseline,n 基線；底線 
basement,n 地下室；地下層 
basic,n 基礎的；基本的n 基礎；基本原理
basically,ad 在根本上 
basis,n 基礎；根據 
basket,n 籃；簍；筐 
bat,n 球棒；球拍 v打；揮打
batch,n 一批生產量；一批 
bath,n 浴缸；洗澡 
bathe,v 浸入；浸洗 
bathroom,n 浴室；化妝室 
battery,n 電池；蓄電池 
battle,v 搏鬥；奮爭 n戰鬥；戰役
bay,n 灣 
be,v 是；等於 aux正在⋯；在⋯
beach,n 海灘；海濱度假地 
bearable,a 能耐的；忍得住的 
bearer,n 持有人；挑夫；搬運工 
bearing,n 舉止；體態；忍耐；忍受 
beat,v 打；擊；敲 n敲打；敲擊聲a筋疲力盡的；垂
beaten,a 挨打的；被打敗的；筋疲力盡的 
beautiful,a 漂亮的；出色的 
beautify,v 使更加美麗；美化 
beauty,n 美麗；美的事物 
because,conj 因為 
become,v 變成；成為 
becoming,a 合適的；適宜的 n形成；發生
bed,n 床；睡眠處 v睡；臥
bed and breakfast,ph 夜宿兼次日早餐 
bedside,n 床邊；床側 a床旁的；臨床的
bedtime,n 就寢時間 a適於睡前的
begin,v 開始；著手 
beginner,n 初學者；新手 
beginning,n 開始；起始 
behalf,n 代表；利益 
behave,v 表現；行為舉止 
behavior,n 行為；舉止 
behavioral,a 行為的 
behind,ad 在背後 prep在⋯⋯的後面n背後
beholder,n 觀看者；旁觀者 
beige,a 米色的 n米黃色
being,n 存在；生存 
belated,a 誤期的；過時的 
belief,n 相信；信任 
believe,v 相信；信任 
believer,n 信徒；信教者 
bell,n 鐘；鈴 v鳴鐘
belly,n 腹；腹部 v鼓起；脹滿
belong,v 屬於；合適 
belongings,n 財產；攜帶物品 
beloved,a 心愛的；親愛的 
below,ad 在下面；到下面prep 在⋯下面
belt,n 腰帶；皮帶 v用皮帶抽打；用帶捆住
bench,n 長凳；長椅 
benchmark,n 水準點；基準 
bend,v 彎曲；轉彎 n彎曲；轉彎處
beneath,ad 在下；向下prep 在⋯之下；向⋯下面
benefactor,n 捐助人；施主 
beneficial,a 有益的；有利的 
benefit,v 得益；受惠 n利益；好處
benignl,a 仁慈的；親切的 
bent,a 彎曲的；決心的n 愛好；傾向
beside,prep 在⋯旁；在旁邊 
besides,ad 此外；而且prep 在⋯之外
bet,n 打賭 v打賭
betray,v 背叛；出賣 
betrayal,n 背叛；密告 
better,a 較佳的；更好的v 改善；改進
between,ad 在中間；兩者之間 prep在⋯之間
beverage,n 飲料 
beware,v 注意；提防 
beyond,adv 在更遠處；往更遠處 prep向⋯的那一
bias,n 成見；偏心 
bicycle,n 腳踏車；自行車 
bid,v 命令；吩咐；出價 
bidder,n 出價人；投標人 
bilingual,a 雙語的 
bill,n 帳單；票據；議案 
billboard,n 廣告牌 
billion,n 十億 
bin,n 箱子；容器 
bind,v 捆；綁 
binding,n 裝訂；封皮 a黏合的；有約束力的
biological,a 生物的；生物學的 
biology,n 生物學 
birth,n 出生；誕生 
birthday,n 生日 
bit,n 小片；小塊；位元 
bite,v 咬；啃 
bitter,a 苦的；痛苦的 
bizarre,a 奇異的；不尋常的；奇怪的 
blame,v 責備；指責 
bland,a 溫和的；淡而無味的 
blank,a 空的；無內容的n 空白；空白處v使模糊；
blanket,n 毛毯；毯子 
bleak,a 荒涼的；無遮蔽的 
bleed,v 出血；流血 
blend,v 使混雜；使交融n 混雜；交融
blender,n 攪拌機；混合器 
blind,a 盲的；視而不見的；不願承認的 
block,n 街區；障礙 v阻塞；堵住；封鎖
blockage,n 封鎖；妨礙 
blood,n 血；血液 
bloom,n 開花；開花期 v繁榮；興盛
blossom,n 開花；開花期v 開花；生長茂盛
blow,v 吹；吹奏 
blunder,v 犯大錯；出漏子 n大錯
blur,v 使模糊不清；使朦朧 n模糊
board,n 木板；委員會；理事會 
boardroom,n 會議室 
boast,v 自吹自擂；誇耀 
boat,n 小船 
body,n 身體；肉體 
boil,v 沸騰；烹煮 
bold,a 無畏的；大膽的 
bomb,n 炸彈；失敗 v轟炸；轟擊
bombard,v 砲擊；轟炸 
bond,n 聯結；聯繫 
bone,n 骨；骨頭 
bonus,n 紅利；獎金 
book,n 書；書籍 
booklet,n 小冊子 
bookshelf,n 書架；書櫃 
bookstore,n 書店 
boom,n 激增；繁榮 v迅速發展；興旺
boost,v 推動；幫助 n推動；促進
boot,n 靴子 
booth,n 攤販；小隔間 
border,n 邊緣；邊境 v毗鄰，接界
borderline,n 邊界；界線 
boring,a 令人生厭的；乏味的 
borrow,v 借用；借 
boss,n 老闆；上司 
bother,v 煩擾；打攪 
bothersome,a 令人討厭的；麻煩的 
bottle,n 瓶子 
bottom,n 底部；下端 
boulevard,n 大道 
bounce,v 彈起；彈回 
bound,v 跳躍；跳起 
boundary,n 邊界；分界線 
bow,n 弓 
bowl,n 保齡球 v投：滾
box,n 箱；盒；匣 
box office,n 售票處；票房 
boycott,v 杯葛；聯合抵制 n杯葛；聯合抵制
brace,n 支柱；支撐物 v支撐；加固
bracket,n 托架；撐架 
brain,n 智力，頭腦 
brainstorm,v 集體研討；集思廣益 
brake,v 煞車 n煞車
branch,n 樹枝；支流；分部；部門 
brand,n 品牌；商標 
brand-new,a 全新的；嶄新的 
brave,a 勇敢的：英勇的 
bravely,ad 勇敢地：英勇地 
bravo,n 喝采聲 
breach,n 破壞，違反 v破壞，違反
bread,n 麵包 
breadth,n 寬度；幅度 
break,v 打破；折斷 n破損；休息；機會
breakable,a 會破的；脆的 
breakdown,n 故障；損壞 
breakfast,n 早餐 
breakout,n 包圍突破 
breakthrough,n 突破性進展；突破 
breakup,n 中斷；中止 
breathe,v 呼吸；呼氣 
breathless,a 呼吸困難的；扣人心弦的 
breathtaking,a 驚人的；令人屏息的 
breeze,n 微風；和風 
brick,n 磚；磚塊 
bride,n 新娘 
bridge,n 橋：橋墩 
brief,a 簡短的；短暫的 
briefcase,n 公事包 
briefly,a 簡短地；短暫地 
bright,a 發亮的；晴朗的 
brighten,v 使明亮；使閃亮 
brilliant,a 光輝的；明亮的 
brisk,a 活潑的；生氣勃勃的 
brittle,a 易碎的；敏感的；難相處的 
broadcast,v 廣播；播送 
brochure,n 小冊子 
broker,n 代理人，中間人 
brokered,v 以中間人等身分安排⋯⋯ 
browse,v 瀏覽；觀看 
browser,n 瀏覽器 
bruise,n 傷痕；青腫 v使受瘀傷，使青腫
brush,v 刷；刷洗 n刷子
brush-off,n 拒絕；不理睬 
bruta,a 冷酷的；野蠻的 
brutally,ad 冷酷地；野蠻地 
bubble,n 泡泡 v沸騰；冒泡
bucket,n 水桶；提桶 
buckle,n 釦子；搭鉤 v扣住；扣緊
budge,v 微微移動；讓步 
budget,n 預算；經費 
build,v 建造；建立 n體格；體型
building,n 建築物；大樓 
bulk,n 體積；容積 a大量的；大批的
business,n 商業；職業 
businessman,n 商人 
busy,a 忙碌的 
button,n 鈕扣；按鈕 
buy,v 買；購買 
buyer,n 買主；買家C 
cab,n 計程車 
cabin,n 客艙；駕駛艙 
cabine,n 櫥；櫃 
cable,n 纜；索 
café,n 咖啡廳 
cafeteria,n 自助餐廳 
caffeine,n 咖啡因 
calcium,n 鈣 
calculate,v 計算；算 
calculation,n 計算；估計 
calculator,n 計算機 
calendar,n 日曆 
caliber,n 口徑；水準，程度 
call,v 叫喊；呼叫 n呼叫；通話
caller,n 訪問者；探望者 
calling,n 呼喊；召喚 
calm,a 鎮靜的；沉著的 v使鎮定；使平靜
camera,n 照相機 
camp,n 營地；帳篷 v紮營；宿營
campaign,n 競選；活動 
campus,n 校園；校區 
cancel,v 取消；廢除；中止 
cancellation,n 取消 
candid,a 公正的，公平的 
candidate,n 候選人；候補者 
capability,n 能力；才能 
capable,a 有能力的；能幹的 
capacity,n 容量；容積 
capital,n 首都；資本 
capitalization,n 資本化；資本額 
capitalize,v 利用；供給（資本） 
capture,v 捕獲；俘虜 n捕獲；俘虜
care,v 在乎：關心 
career,n 職業；工作 
careful,a 小心翼翼的；仔細的 
carefully,ad 小心翼翼地；仔細地 
cargo,n 貨物 
carpet,n 地毯 
carrier,n 運送人；搬運人 
carry,v 運載；搬運；支撐 
carry,out Ph 實行；執行
cart,n 小車，手推車 
carton,n 紙盒；紙板箱 
case,n 盒；套 
cash,n 現金；現款 v把⋯⋯兌現
cast,v 投；擲；拋 n投；班底；演員
catalog,n 目錄；目錄冊 
categorize,v 將⋯分類 
category,n 種類；部屬；類目 
cater,v 提供飲食；承辦宴席 
catering,n 承辦酒席；提供飲食及服務 
cause,n 原因；起因 v導致；使發生
caution,n 小心；謹慎 
cautious,a 十分小心的；謹慎的 
central,a 中心的；中央的 
century,n 世紀；一百年 
ceremony,n 儀式；典禮 
certain,a 確鑿的；無疑的 
certainly,ad 無疑地；必定 
certificate,n 證明書；執照 
certify,v 證明，證實 
chain,n 鏈條；連鎖；連續 
challenge,v 挑戰；提出異議 
change,v 改變；更改 n變化；變更；零錢
changeable,a 易變的；不定的 
chapter,n 篇章；篇 
character,n 角色；性格；特性 
characteristic,a 特有的；獨特的 
characterize,v 具有⋯⋯的特徵；以⋯⋯為特徵 
charge,v 控告；索價 
chart,n 圖表；曲線圖 
check,n （美）檢查；支票；帳單 
chef,n 廚師 
cheque,n （英）支票 
choice,n 選擇；挑選 
choose,v 選擇；挑選 
chore,n 例行工作；家務活 
circle,n 圓形的東西；圈v 畫圓圈；圈出；圍著
circumspect,a 慎重的；謹慎小心的 
circumstance,n 情況；環境；情勢 
circumvent,v 規避；防止⋯⋯發生 
citation,n 引用；引證 
citizen,n 市民；居民 
citizenship,n 公民權；公民身分 
city,n 城市；都市 
civic,a 城市的；市民的 
claim,v 主張；斷言；聲稱 
clarify,v 澄清；闡明 
clause,n 條款；款 
clear,a 明亮的；顯然的v 清除；收拾
clearance,n 清除；清掃 
clearly,ad 顯然地；無疑地；明亮地 
clerk,n 辦事員；職員 
client,n 委託人；客戶 
climate,n 氣候 
climb,v 爬；攀爬 
clip,v 剪；修剪 n剪；修剪
clock,n 時鐘 
coach,n 教練 v訓練；指導
cognition,n 認知；知識 
coherent,a 一致的；協調的 
cohesive,a 凝聚性的；有結合力的 
coin,n 硬幣 
coincidence,n 巧合；符合 
collaborate,v 合作；勾結 
collaboration,v 合作；勾結 
collateral,a 並行的；附屬的 n擔保品；抵押品
colleague,n 同事；同僚 
collect,v 收集；採集 
collectible,a 可收集的 
collection,n 採集；收取 
college,n 大學；學院 
collide,v 碰撞；相撞 
combination,n 結合；聯合 
combine,v 結合；聯合 
come,v 來；來到 
come across,Ph 碰見；被理解 
comfort,v 安慰；慰問 n安逸；舒適
comfortable,a 舒適的；舒服的 
comforting,a 令人欣慰的 
command,v 指揮；控制 
comment,n 註釋；評論v 下評論
commentary,n 評論 
commerce,n 商業；貿易 
commercial,a 商業的；商務的 n廣告
commission,n 佣金；委任 v委任；委託
commit,v 犯（罪）；做（錯事等） 
commitment,n 託付；交託 
committed,a 忠誠的，堅定的 
commodity,n 商品；日用品 
common,a 普通的；常見的 
communication,n 溝通；交流 
commute,v 通勤；替代；代償 
commuter,n 通勤者 
company,n 陪伴；公司 
comparatively,ad 對比地；比較地 
compare,v 比較；對照 
comparison,n 比較；對照 
compatible,a 能共處的；可並立的 
compel,v 強迫；強求 
compensate,v 補償；賠償 
compensation,n 補償；賠償 
compete,v 對抗；競爭 
competent,a 有能力的；能勝任的 
competition,n 比賽；競賽 
competitive,a 競爭性的；好競爭的 
competitor,n 競爭者；對手 
complain,v 抱怨 
complaint,n 抱怨 
complete,v 競爭；比賽 
completion,n 完成；結束 
complex,a 複雜的；錯綜複雜的 n複合物；綜合體
compliant,a 順從的；應允的 
complicate,v 使複雜化；使費解 
complicated,a 複雜的；難懂的 
compliment,n 稱讚：讚美 v稱讚：讚美
comply,v 依從；順從 
component,n 構成要素；零件 a組成的；構成的
compose,v 作（詩，曲等）；使安定 
composition,n 寫作；作曲 
composure,n 平靜；鎮靜 
comprehend,v 理解；了解 
comprehensive,a 廣泛的；無所不包的 
comprise,v 包含；包括 
compromise,v 妥協；和解 n妥協；和解
compute,v 計算；估算 
conceal,v 隱藏；隱瞞 
conceive,v 想像；設想 
concentrate,v 集中；聚集；全神貫注 
concept,n 概念；觀念 
concern,v 關於；涉及 n關心的事；關係
concerning,prep 關於 
conclude,v 結束；推斷出 
conclusion,n 結論 
concrete,a 有形的；實在的 n混凝土v凝結；固結
concur,v 同意；一致 
condition,n 情況；狀況 
conduct,v 帶領；實施 
conference,n 會議 
confident,a 有自信的；確信的 
confidential,a 祕密的；機密的 
confirm,v 證實；確定 
confirmation,n 確定；確證 
confuse,v 使困惑；混淆 
confusion,n 混亂；騷動 
conscious,a 神志清醒的；有知覺的 
consciously,ad 有意識地；自覺地 
consciousness,n 意念；意識 
consecutive,a 連續不斷的；連貫的 
consequently,ad 結果；因此；必然地 
conservative,a 保守的；守舊的 n保守者；守舊者
conserve,v 保存；保護 
consider,v 考慮；細想 
consideration,n 體貼；動機；原因 
considering,prep 就⋯⋯而論；考慮到 ad各方面
consist,v 組成；構成 
consistency,n 一致；一貫 
consistent,a 始終如一的；前後一致的 
consistently,ad 一貫地；固守地 
constant,a 固定的；不變的 
constrain,v 強迫；迫使 
constraint,n 約束；限制 
construction,n 建造；建設 
