abandon,v 拋棄；遺棄 
consultancy,n 諮詢公司；顧問公司 
consultant,n 顧問；諮詢者 
consume,v 消耗；花費 
consumer,n 消費者 
consumption,n 消費 
contact,n 接觸；交往；聯繫 a接觸的；接觸傳染
contain,v 包含；容納 
contemporary,a 當代的；同時代的 
content,n 滿足 a滿足的；滿意的v滿足
contest,v 競爭；角逐 n比賽
context,n 來龍去脈；背景 
continue,v 繼續；持續 
continuity,n 連續性；持續性 
continuous,a 連續的；不斷的 
contract,n 合約 v締結；承包
contractor,n 立契約者；承包人 
contrary,a 相反的；對立的 ad相反地；反對地
control,v 控制；支配 n支配；控制
controlling,a 管理的；控制的 
convenience,n 便利；方便 
convenient,a 便利的：方便的 
convention,n 會議；大會；集合 
conventional,a 習慣的；慣例的 
conversation,n 會話；對話 
convey,v 告知；傳達 
conviction,n 定罪；確信 
convince,v 說服 
cooperation,n 合作；協力 
coordinate,v 協調；調節 
cope,v 應付；處理 
copy,v 抄寫；複製 n抄寫；副本
cordially,ad 熱誠地；誠摯地 
corner,n 角落 
corporate,a 全體的；共同的 n企業；集團
correct,a 正確的；對的v 改正；糾正
corrupt,a 腐敗的，貪汙的 v墮落；腐化
corruption,n 墮落；腐化 
cost,v 花費；付出 n費用；成本
council,n 會議；議事 
counsel,n 商議；審議 v勸告；忠告
counter,ad 反方向地，相反地 a相反的v反對；反
couple,n 情侶；夫妻 
coupon,n 贈券；減價優待券 
courier,n 信差；導遊；情報員 
course,n 路線；方向；課程；系列 
court,n 法庭；法院 
courteously,ad 有禮貌地；親切地 
courtesy,n 禮貌；殷勤 
cover,v 遮蓋；覆蓋 n遮蓋物；封面
coverage,n 覆蓋；覆蓋範圍 
crack,n 裂縫；裂痕 v裂開；爆裂
craft,n 工藝，手藝 v精巧地製作
crafted,a 製作的；工藝的 
crane,n 鶴 v伸著脖子看
crash,v 碰撞；倒下 n墜毀，迫降
create,v 創造；製作 
creation,n 作品；製作物 
creative,a 有創意的：創新的 
creativity,n 創意；創造力 
creature,n 生物；動物 
credential,n 憑據；證書 
credible,a 可信的；可靠的 
credit,n 賒帳；信譽；功勞 v相信；把⋯⋯歸於
creditor,n 債權人；貸方 
crew,n 工作人員；船員 
crime,n 犯罪；罪刑 
criminal,n 罪犯 a犯罪的；犯法的
crisis,n 困難；危及 
criterion,n 標準；準則 
critic,n 評論家 
critical,a 批判的；評論的 
criticize,v 批判；評論 
crop,n 作物：莊稼 v播種
cross,v 橫穿；渡過 n十字形；十字架
crowd,n 群眾；觀眾 
crowded,a 擁擠的；滿的 
crucial,a 重要的；嚴酷的 
cruise,v 巡航；航遊 n巡航；航遊
cuisine,n 烹飪；烹調法；菜餚 
cupboard,n 食櫥；碗櫃 
cure,n 治療；痊癒 v治癒
curious,a 好奇的 
currency,n 通貨；貨幣 
current,a 現時的；當前的 n流動；水流
cushion,n 墊子；坐墊 
custom,n 習俗；慣例 a訂做的；訂製的
customer,n 顧客；買主 
customize,v 訂做；客製化 
customs,n 關稅；海關 
cutback,n 減少；剪修新芽 
cycle,n 週期；循環 v循環；輪轉
daily,a 每日的；日常的 
damage,n 損害；損失 v損害；毀壞
danger,n 危急；危險 
dangerous,a 危險的 
dare,aux 敢；竟敢 v敢；膽敢n果敢行為；挑戰
daring,a 大膽的；勇敢的 
data,n 資料；數據 
database,n 資料庫 
dawn,n 黎明，拂曉 v破曉；（天）剛亮
day,n 一天；日；白天 
daylight,n 日光；白晝 
date,n 日期；日子 v註有日期
daytime,n 白天；白晝 
dazzle,v 使目眩；使眼花n 耀眼；燦爛
deadline,n 截止期限；最後限期 
deal,v 經營；交易 n交易
dealer,n 業者；商人 
dealing,n 行為；商業往來 
dean,n 教務長；學院院長 
dear,a 親愛的；摯愛的 
debatable,a 可爭辯的；可爭論的 
debate,v 辯論；爭論 n辯論
debit,v 借方 n把⋯⋯記入借方
debt,n 債務；借款 
debut,n 首次露面；初次登臺 
decade,n 十；十年 
decease,v 亡故 n死亡
deceit,n 欺騙；欺詐 
deceitful,a 騙人的；欺詐的 
deceive,v 欺騙；蒙蔽 
decelerate,v 減緩；降低速度 
deceleration,n 減速 
decent,a 正派的；合乎禮儀的 
decide,v 決定；決意 
decipher,v 破解（密碼等）；解釋（古代文字等） 
decision,n 決心；判斷 
decisive,a 決定性的；決定的 
deck,n 艙面；甲板 
declaration,n 宣告；宣言 
declare,v 宣告；聲明 
decline,v 下降；下跌 n下降；減少
decode,v 譯解（密碼） 
decrease,v 減；減少 
dedicate,v 奉獻；獻身 
dedication,n 奉獻；供奉 
deduce,v 演繹；推論 
deduct,v 扣除；減除 
deduction,n 扣除；減除 
deem,v 認為；以為 
deep,a 深的 ad深深地n深處
deepen,v 使變深；使加深；使強烈 
default,n 違約；拖欠；預設 v不履行；拖欠
defeat,v 戰勝；擊敗 n戰敗；挫折
defect,n 缺點；缺陷 v逃跑；脫離
defend,v 防衛；保護 
defense,n 防衛；保護 
defensive,a 防衛的；保衛的 
deficiency,n 不足；缺乏 
definite,a 明確的；確切的 
deflate,v 抽出⋯⋯中的氣 
deflect,v 使偏斜；使轉向 
defy,v 公然反抗；蔑視 
degree,n 度，度數；程度 
delay,v 拖延；耽擱 n延遲；耽擱
delegate,v 委派⋯⋯為代表；委派（某人）做 
deliberate,a 深思熟慮的；慎重的 v仔細考慮；
deliberately,ad 慎重地；謹慎地 
delicacy,n 精美；佳餚 
delicate,a 易碎的；嬌貴的；纖弱的 
delicious,a 美味的；香噴噴的 
delight,n 欣喜；愉快 v高興；喜愛
deliver,v 投遞；傳送 
delivery,n 投遞；傳送 
delusion,n 迷惑；欺騙 
demand,v 要求，請求 n要求；請求
demise,n 死亡；終止 v轉讓；遺贈
demographics,n 人口統計資料 
demolish,v 毀壞；破壞 
demonstrate,v 論證；證明；示威 
demonstration,n 論證；證明 
denial,n 否認；否定 
dense,a 密集的，稠密的 
density,n 密集度；稠密度 
deny,v 否定，否認 
depart,v 起程，出發 
department,n 部；司；局；處；科 
departmental,a 部門的；分部的 
departure,n 離開；出發 
depend,v 相信；信賴 
dependency,n 依靠；信賴 
dependent,a 依靠的；依賴的 
depict,v 描述；描寫 
deposit,v 放置；寄存 n存款
depression,n 沮喪；意氣消沉 
describe,v 描繪；敘述 
description,n 敘述；形容 
deserve,v 應受；該得 
design,v 設計構思；繪製n 圖樣；圖紙
despite,prep 不管；儘管n 惡意；怨恨
destination,n 目的地；終點 
destroy,v 毀壞；破壞 
destruction,v 毀壞；破壞 
detail,n 細節；詳情 v詳述；詳細說明
detailed,a 詳細的；精細的 
detect,v 探測；察覺 
determine,v 決定；下決心 
develop,v 開發：發展 
developer,n 開發者 
development,n 進化；發展 
device,n 設備；機器 
devise,n v 設計；發明
dial,v 撥打；撥 
diary,n 日記；日誌 
dictate,v 口授；口述 
diet,n 飲食；食物 v節食
dietician,n 營養學家 
difference,n 差別；差異 
different,a 不同的；有差異的 
difficult,a 困難的；艱難的 
difficulty,n 困難；困境 
digital,a 數位的 
dignity,n 尊嚴；自尊 
diligent,a 勤勉的，勤奮的 
direct,v 指向；針對 a徑直的；筆直的
directly,ad 直接地；筆直地 
director,n 導演；主管；署長 
directory,n 工商名錄；號碼簿 a指導的；諮詢的
disagree,v 不一致；不符 
disappear,v 消失；離開 
discard,v 拋棄；摒棄 
discern,v 分辨；識別 
discipline,n 紀律；風紀 
disclaimer,v 放棄；拒絕 
discount,n 折扣 v打折扣
discourage,v 使洩氣；使沮喪 
discouraged,a 灰心的；沮喪的 
discouragement,n 沮喪；氣餒 
discover,v 發現；探索 
discuss,v 討論；交流 
discussion,n 討論；交流 
disease,n 病，疾病 v使生病；使不健全
disembark,v 登陸；上岸 
dismal,a 憂鬱的；沉悶的n 沮喪；抑鬱
dismiss,v 讓⋯離開；把⋯打發走 
dispense,v 分配，分發v 免除；省掉
display,v 陳列；展出 n展覽；陳列
disposal,n 處理；處置 
dispose,n 配置，布置 
dispute,v 爭論；爭執 n爭論；爭執
disrupt,v 使分裂；使瓦解a 破裂的；中斷的
dissipate,v 使消散；消除 
distinctive,a 有特色的；特殊的 
distinguish,v 區別；識別 
distract,v 轉移；分散 
distributor,n 分配者；批發商 
disturb,v 打擾 
diverse,a 不同的；多元的 
diversification,n 多樣化 
diversity,n 差異；不同點 
divert,v 轉向；轉移 
divide,v 分；劃分 n分歧；不和
division,n 分開；分割 
doctor,n 醫生 
document,n 公文；文件 
documentation,n 文件；憑證 
domestic,a 家庭的；國內的 
dominate,v 支配；統治 
donate,v 捐獻；捐款 
donation,n 捐獻；捐款 
dot,n 點，小圓點 v打點；加點
dotted,a 有點子的；星羅棋布的 
doubt,v 懷疑；揣測 
download,v 下載 
downsize,v 裁減 
downsizing,n 縮減開支 
downtown,n 商業區，鬧區 
downward,a 向下的；下降的 ad向下；日趨沒
draft,n 草稿；手稿 
drama,n 戲劇；劇本 
drastic,a 激烈的；猛烈的 
drastically,ad 大大地；徹底地 
draw,v 繪製；描寫；拉n 平局；抽籤
drawer,n 抽屜 
dress code,n 穿衣法則；著裝標準 
drift,v 漂流；漂 
drive,v 駕駛；開車 
drug,n 藥物；藥 
due,a 應支付的；到期的n 應付款；稅金
duplicate,n 複製品；副本 a完全一樣的；複製
durable,a 經久的，耐用的；持久的 
duration,n 持久；持續期間 
during,prep 在⋯的整個期間 
duty,n 職務；勤務 
dynamic,a 動力的；充滿活力的 
each,pron 各個；每個 a各；每
eager,a 熱心的；熱切的 
earn,v 掙得；博得 
earnings,n 收入；薪資 
ease,v 減輕，緩和 n舒適；悠閒
east,n 東方；東 
easy,a 簡單的；輕易的 
eco-friendly,a 對環境友善的 
economical,a 經濟的；節儉的 
economize,v 節約；節省 
economy,n 節約；經濟a 廉價的；經濟的
edge,n 稜；邊緣 v使漸進；徐徐地移動
edit,v 編輯；校訂 
editor,n 編輯 
editorial,n 社論 a編輯的
education,n 教育 
effect,v 造成；產生 n效果；效力
effective,a 有效的；生效的 
efficiencyn,n 效率；效能；功效 
efficient,a 效率高的；有能力的 
effort,n 努力；盡力 
either,a 任一的 pron（兩者之中）任何一個
eject,v 逐出；轟出 
elaborate,v 精心製作；詳盡闡述 
elder,a 年長的 
elect,v 選舉；推選 
election,n 選舉；推選 
electric,a 電的；導電的 
electrician,n 電工；電氣技師 
electricity,n 電力 
electronic,a 電子的；電子操縱的 
elegance,n 優雅 
elegant,a 優雅的 
element,n 元素；構成 
elemental,a 基本的；原始的 
elementary,a 基本的；初級的 
elevate,v 舉起；抬起 
elevation,n 提高；提升 
elevator,n 電梯 
eligible,a 有資格當選的；法律上合格的 
eliminate,v 排除；消滅 
elimination,n 排除；消滅 
elite,n 精華；菁英 
else,ad 其他；另外 
elsewhere,ad 在別處；往別處 
embark,v 從事；著手 
embrace,v 擁抱；包括 
emerge,v 浮現；出現 
emergency,n 緊急情況；突然事件 
emit,v 散發；放射 
emotion,n 情感；情緒 
empathy,n 同感 
emphasis,v 強調；重視 
emphasize,v 強調；重視 
employ,v 僱用；使用 
employee,n 員工 
employer,n 雇主 
employment,n 僱用；受僱 
emulate,v 同⋯競爭；盡力趕上 
enable,v 使能夠；賦予⋯能力 
enclose,v 圍住；圈起 
enclosure,n 圍住；封入 
encounter,n 遭遇；衝突v 遭遇；遇到
encourage,v 鼓勵；鼓舞 
encouragement,n 鼓勵；鼓舞 
endanger,v 危及；使遭到危險 
endeavor,v 努力；力圖n 努力；盡力
endorsement,n 背書；贊同 
endure,v 忍耐；忍受 
energetic,a 精力旺盛的；- 精神飽滿的
energy,n 活力；幹勁 
enforce,v 實施；執行 
engage,v 吸引；佔用 
engagement,n 訂婚；婚約 
engine,n 引擎 
engineer,n 工程師 
enhance,v 提高；升高 
enlarge,v 擴大；擴展 
enlargement,n 擴大；擴展 
enlist,v 從軍；入伍 
enrich,v 使富裕；使豐富 
enrichment,n 致富；豐富 
enroll,v 記入名冊；被登記 
ensure,v 保證；擔保 
enterprise,n 企業；公司 
entertain,v 娛樂；款待 
entertainer,n 請客者；表演者 
entertainment,n 演藝；餘興 
enthusiasm,n 熱忱 
enthusiastic,a 熱忱的；熱血的 
entire,a 全部的；整個的n 全部；整體
entirel,ad 全部地；整個地 
entitle,v 給⋯權力（或資格） 
entitled,a 給予權利；使有資格 
entrance,n 入口；門口 
entrust,v 信託；委託 
entry,n 入場；參加 
environment,n 環境 
environmental,n 環境的 
envision,v 想像；展望 
equal,v 平等的；均等的 
equality,n 平等；相等 
equip,v 裝備；配備 
equipment,n 裝備；配備 
equity,n 公平；公正 
equivalent,a 相等的；相同的 
error,n 錯誤；失誤 
escort,v 護送；陪同 n護衛隊；護航隊
especially,ad 特別；尤其 
essay,n 論文；散文 
essence,n 本質；實質 
essential,a 必要的；不可缺的 
establish,v 建立；設立 
establishment,n 建立；設立 
estate,n 財產；資產 
esteem,n 尊重；尊敬 v尊重；尊敬
estimate,v 估算；估量 
eternal,a 永恆的；永久的 
ethic,n 倫理；道德 
ethical,a 倫理的；道德的 
ethics,n 倫理學；道德學 
evade,v 躲避；逃避 
evaluate,v 估價；評價 
evaluation,n 估價；評價 
evasive,a 逃避的；託辭的 
even,a 平的；平坦的ad 甚至；連v使平坦
event,n 事件；大事 
eventual,a 最終的；最後的 
evidence,n 證據；證詞 
evident,a 明顯的；明白的 
evoke,v 喚起；引起 
evolve,v 逐步形成；發展 
exact,a 正確的；精準的 
exaggerate,v 誇大；誇張 
exaggeration,n 誇大：誇張 
exam,n 考試；測驗 
examination,n 考試；測驗 
examine,v 檢驗；測試 
examiner,n 主考人；檢查人 
example,n 範例；示範 
exceed,v 超過；勝過 
excel,v 勝過；優於 
excellent,a 出色的；傑出的 
except,prep 除⋯⋯之外conj 除了v把⋯⋯除外
exception,n 例外；例外的人 
excess,n 超越，超過 a過量的；額外的
exchange,v 交換；調換n 交換；調換
excite,v 刺激；使興奮 
exclude,v 排除在外；不包括 
exclusion,n 排斥；排除在外 
exclusive,a 排外的；除外的 
exclusively,ad 專門地；專有地 
execute,v 實施；處死 
executive,a 執行的；實施的 n執行者；行政官
exert,v 運用；行使 
exhibit,v 展示，陳列 n展示品；陳列品
exhibition,n 展覽；展示 
exist,v 存在；生存 
existence,n 存在；實在 
exit,v 出口；通道 v出去；離去
expand,v 展開；張開 
expansion,n 擴展；擴張 
expect,v 期待；預期 
expectation,n 期待；預期 
expedite,v 迅速執行；促進 
expel,v 驅逐；趕走 
expenditure,n 消費；支出 
expense,n 費用；價錢 
expensive,a 高價的；昂貴的 
experience,n 經驗；經歷 
experiment,n 實驗；試驗 v進行實驗；試驗
expert,n 專家；能手 a熟練的；老練的
expertise,n 專門知識；專長 
expiration,n 終結；期滿 
expire,v 屆期；終止 
explain,v 解釋；說明 
explanation,n 解釋；說明 
explode,v 爆發；爆炸 
explore,v 探險；挖掘 
explorer,n 探險者 
explosion,n 爆發；爆炸 
export,v 輸出；出品 
expose,v 使暴露於；使接觸到 
exposure,n 暴露；揭露 
express,v 表達，陳述 a快遞的n快遞；快運
expression,n 表達；表示 
extend,v 延長，延伸 
extension,n 伸展；伸長 
extensive,a 廣大的；廣闊的 
extent,n 廣度；程度 
extra,a 額外的 
extract,n 抽出（物）；採掘 
extraordinary,a 異常的；特別的 
fabric,n 布料；織布 
fabricate,v 製造；偽造 
face,n 臉；面孔 v面向；正對
facial,a 臉的；面部的 
facilitate,v 促進；幫助 
facilitator,n 促進者；便利措施 
facility,n 設施；配備 
facto,n 因素；成因 
factory,n 工廠 
fail,v 失敗；不及格 n失敗；不及格
failure,n 失敗；挫敗 
fair,a 公平的 ad公平地；公正地n集市
fairly,ad 公平地；公正地 
faith,n 信念；信任 
faithful,a 忠實的；忠誠的 
falter,v 蹣跚；踉蹌 n動搖；猶豫
familiar,a 眾所周知的；熟悉的 
familiarity,n 熟悉；通曉 
familiarize,v 使熟悉；使親近 
fare,n 票價 v過活；遭遇
farewell,n 告別；告別辭 
farm,n 農場 
fascinate,v 迷住；使神魂顛倒 
fascination,n 魅力；陶醉 
fashion,n 時尚 
fashionable,a 流行的；時尚的 
fast,a 快速的；迅速的 
fasten,v 紮牢；繫緊 
fatal,a 命運的；決定命運的 
fate,n 命運；天命 v命定；注定
father-in-law,n 岳父 
fatigue,n 疲勞；勞累 v疲勞
fault,n 錯誤；失誤 
faulty,a 有缺點的；不完美的 
favor,n 幫助；善意的行為 v支持；擁護
favorable,a 贊同的；稱讚的 
favorite,a 喜愛的；喜歡的 
fax,n 傳真 
fear,n 恐懼；害怕 v害怕；畏懼
feasibility,n 可行性；可能性 
feasible,a 可行的；可實行的 
feast,n 盛宴；筵席 
feat,n 功績；業績 
feature,n 特徵；特色 v以⋯⋯為特色；是⋯⋯的
federal,a 國家的；聯邦的 
fee,n 酬金；服務費 v付費
feed,n 飼料；牧草 v餵；飼養
feedback,n 回饋 
fellow,a 同伴的；同事的n 傢伙；人
fellowship,n 夥伴關係；交情 
female,n 女性 a女性的
feminine,a 女性的；婦女的 
ferry,v 渡過；運送 n擺渡；渡輪
fertility,n 肥沃；豐富 
fertilize,v 使肥沃；施肥 
fertilizer,n 肥料 
festival,n 節日 a節日的
fetch,v 拿來；拿給 
fever,n 發燒，發熱 v發燒；高度興奮
fiber,n 纖維；纖維製品 
fiction,n 小說；虛構 
field,n 原野；田地 
fierce,a 兇猛的；殘酷的；好鬥的 
fight,n 戰鬥；打鬥 v戰鬥；打鬥
figure,n 外形；體形 v計算；認為
file,n 文件夾 v歸檔提出
fill,v 裝滿；填滿 
film,n 膠捲影片；影片 
filter,n 濾器 v過濾；濾除
final,a 最後的；最終的n 決賽；期末考
finalize,v 完成；結束 
finance,n 財政；金融 
financial,a 財政的；金融的 
finish,v 結束；完結 
finite,a 有限的 
fire drill,n 火災避難訓練；消防演習 
firm,a 穩固的；牢固的 
fiscal,a 財政的；金融的 
fit,v 合身；適合 a適合的；健康的
fitnes,n 健康；適當 
fix,v 修理；修復 
fixation,n 固定；注視 
fixture,n （房屋等的）固定裝置 
flaw,n 裂縫；缺點 v使破裂；使有缺陷
flawed,a 有缺點的；錯誤的 
flawless,a 無瑕的；完美的 
flexibility,n 靈活性；彈性 
flight,n 班機；航班 
fluctuate,v 波動；變動 
fluctuation,n 波動；變動 
fluency,n 流暢 
fluent,a 流暢的；順暢的 
focus,n 焦點；焦距 v聚焦
fold,v 折；折疊 
folder,n 資料夾 
forecast,n 預報；預測 v預報；預測
foreign,a 外國的；陌生的 
foremost,a 最前的；最先的 ad首先
foresee,v 預見；預知 
form,n 形狀；外形 v形成；構成
formal,a 正式的；禮節上的 
format,n 格式 
formatted,a 格式化了的 
formula,n 公式 
formulate,v 使公式化；用公式表示 
fortunate,a 幸運的；僥倖的 
fortunately,ad 幸運地；僥倖地 
fortune,n 財產；好運 
forum,n 討論會；論壇 
forward,ad 向前 a前面的v轉交；發送
foundation,n 建立；創辦；基金會 
founder,n 創辦人 
fraction,n 片段；碎片 
frame,n 架構；骨架 v建造；塑造
framework,n 構造；機構 
franchise,n 特許經銷權；公民權 
franchisor,n 特許授予人 
frank,a 坦白的；直率的 
frankly,ad 率直地；坦白地 
fraud,n 欺騙；詭計 
fraudulent,a 欺詐的；欺騙的 
free,a 自由的；免費的ad 免費地；無約束地v
freedom,n 自由 
freight,n 貨物 v裝貨於；運輸
frequency,n 頻率 
frequent,a 頻繁的 
frequently,ad 頻繁地 
frighten,v 驚恐；害怕 
fuel,n 燃料 v加燃料；加油
fueled,a 加燃料的 
fulfill,v 執行；履行 
fulfillment,n 履行；實現 
function,n 功能；作用 v工作；運行
functioning,a 運作的 
fund,n 資金 
fundamental,a 基礎的；根本的 n基本原則
funding,n 資金；基金 
fundraiser,n 資金籌集人 
furniture,n 傢俱；設備 
further,a 更遠的 ad更遠地v促進；助長
gamble,n 賭博；打賭 v賭博；打賭
gap,v 裂開 n缺口；隔閡
garbage,n 垃圾 
garment,n 服裝；衣著 
gasoline,n 汽油 
gas,n 氣體；瓦斯 
gate,n 大門；柵欄門 
gatekeeper,n 看門人；守門員 
gather,v 收集；召集 n聚集；收穫量
gathering,n 集會；聚集 
gear,n 工具；設備 v使適應；使適合
gender,n 性別 
general,a 普通的；一般的 
generally,ad 通常；一般地 
generate,v 產生；發生 
generation,n 世代；一代 
generosity,n 慷慨；大方 
generous,a 慷慨的 
genius,n 天才；天資 
gentle,a 紳士的 
gentleman,n 紳士 
genuine,a 真誠的；不造作的 
geographic,a 地理學的；地理的 
geography,n 地理；地理學 
germ,n 微生物；細菌 
gesture,n 姿勢；手勢 
getaway,v 逃走；起步 
giant,n 巨人 a巨人般的；巨大的
gift,n 禮物；天賦 
gifted,a 有天資的；有天賦的 
gift-wrap,v 用包裝紙包裝 
glamor,n 魅力；魔力 
glance,v 掃視；瞥見 
glitch,n 小故障；失靈 
global,a 球狀的；全世界的 
globe,n 球狀物；地球 
gloom,n 黑暗；陰暗 v使暗；使陰沉
glorify,v 讚美；美化 
glory,n 光榮；榮譽 
glossary,n 詞彙表；術語 
glove,n 手套 
glow,v 發光；發熱 
goodwill,n 善意；好心 
gorgeous,a 燦爛的；華麗的 
gossip,n 閒話；聊天 v閒聊
govern,v 統治；管理 
government,n 政府 
grab,v 抓取；拾取 
grace,n 優雅 
graceful,a 優雅的 
grade,n 成績；等級 
gradual,a 逐漸的；逐步的 
gradually,ad 逐漸地 
graduate,v 准予畢業；授與學位 
grand,a 雄偉的；堂皇的 
grant,v 同意；允許 
graph,n 圖表；圖解 
grasp,v 抓牢；握緊 n抓；握
grateful,a 感激的；感謝的 
gratitude,n 感恩；感謝 
gratuity,n 賞錢；小費 
gravity,n 重力；引力 
greed,n 貪心 
greenhouse,n 溫室；暖房 
grin,v 露齒而笑；齜牙咧嘴 
grip,n 緊握；夾住 
grocer,n 食品雜貨商 
grocery,n 食品雜貨店 
groom,n 新郎 v打扮；穿戴
gross,a 總的；顯著的 n總額；總量
ground,n 地面；土地 
groundbreaking,a 開創性的 
grow,v 成長；生長 
growth,n 成長；發育 
guarantee,n 保證；保固 v保證；保固
guard,n 哨兵；衛兵 v防範；警惕
guardian,n 守護者；管理員 
guess,v 猜測；臆測 
guest,n 賓客；客人 
guidance,n 引領；帶領 
guide,n 引領；帶領 v響導；指導
guidebook,n 旅行指南 
guideline,n 指導方針 
guilt,n 罪惡；過失 
guilty,n 有罪的；罪惡的 
gym,n 體育館：體操 
gymnasium,n 體育館；體操 
habit,n 嗜好；興趣 
habitat,n 棲息地；產地 
habitual,a 習慣的 
hack,v 劈；砍 
haircut,n 髮型；理髮 
hairdresser,n 美髮師 
half,n 一半 a一半的ad一半地
halfway,a 中途的 ad中途地
hall,n 會堂；大廳 
hallmark,n 品質證明；戳記 
hallway,n 玄關；門廳 
halt,n 暫停；停止 v停止；終止
handbag,n 手提包 
handbook,n 手冊；旅行指南 
handful,n 一把；一握 
handicap,n 障礙，殘障 
handle,v 操作；操縱 
handling,n 操作；管理 
handout,n 施捨物；傳單；印刷品 
handshake,n 握手 
harbor,n 港灣；海港 v庇護；藏匿
hardly,ad 幾乎不；簡直不 
hardware,n 器件；器具 
harm,n 傷害；危害 v傷害；危害
harmful,a 有害的；不良的 
harmony,n 和睦；融洽 
harvest,n 收成；產量 v收成；產量
hasty,a 匆忙的；急忙的 
hazard,n 危險；危害物v 冒險作出；嘗試
hazardous,a 有危險的；冒險的 
headline,n 標題；大標題 
headquarter,n 總部 
heal,v 癒合；痊癒 
health,v 健康 
healthy,a 健康的；健全的 
hear,v 聽見；聽 
heat,n 熱度；熱烈 v變熱；發熱
heater,n 加熱器；暖氣機 
heel,n 腳後跟 
height,n 高度；海拔 
helmet,n 帽盔；安全帽 
help,n 幫助 v補救；治療
helpful,a 有幫助的；有益的 
hemisphere,n 半球；半球體 
hence,ad 因此；由此 
herd,n 畜群；牧群 v放牧
heritage,n 遺產；命運 
hesitate,v 躊躇；猶豫 
hesitation,n 躊躇；猶豫 
hidden,a 隱藏的；隱祕的 
hide,v 隱藏 
high,a 高的；高級的 ad高聲地，在高處
highway,n 公路；幹道 
hike,v 健行；遠足 
hilarious,a 可笑的；荒謬的 
hinder,v 妨礙；阻礙 
hint,n 暗示 v暗示；示意
hire,v 僱用 n租用；僱用
hobby,n 興趣；癖好 
hold,v 握著；抓住 n掌握；支配
hole,n 洞；破洞 v鑿洞於；穿孔於
holiday,n 節日；假日 
home,n 家庭；家庭生活ad 在家；回家a家庭的
homesick,n 思家的 
